nohup: ignoring input
***** Case No.1 *****
BLEU Score: 0.893154
METEOR Score: 0.989604
ROUGE Score: 0.923077
***** Case No.2 *****
BLEU Score: 0.912168
METEOR Score: 0.991449
ROUGE Score: 0.941176
***** Case No.3 *****
BLEU Score: 1.000000
METEOR Score: 0.999898
ROUGE Score: 1.000000
***** Case No.4 *****
BLEU Score: 1.000000
METEOR Score: 0.999711
ROUGE Score: 1.000000
***** Case No.5 *****
BLEU Score: 1.000000
METEOR Score: 0.999711
ROUGE Score: 1.000000
***** Case No.6 *****
BLEU Score: 0.903602
METEOR Score: 0.990619
ROUGE Score: 0.933333
***** Case No.7 *****
BLEU Score: 0.530849
METEOR Score: 0.718383
ROUGE Score: 0.521739
***** Case No.8 *****
BLEU Score: 0.484152
METEOR Score: 0.559398
ROUGE Score: 0.571429
***** Case No.9 *****
BLEU Score: 0.844632
METEOR Score: 0.856565
ROUGE Score: 0.842105
***** Case No.10 *****
BLEU Score: 0.942615
METEOR Score: 0.994390
ROUGE Score: 0.965517
***** Case No.11 *****
BLEU Score: 0.246240
METEOR Score: 0.653047
ROUGE Score: 0.260870
***** Case No.12 *****
BLEU Score: 0.791067
METEOR Score: 0.999772
ROUGE Score: 0.777778
***** Case No.13 *****
BLEU Score: 0.942615
METEOR Score: 0.994390
ROUGE Score: 0.965517
***** Case No.14 *****
BLEU Score: 1.000000
METEOR Score: 0.999898
ROUGE Score: 1.000000
***** Case No.15 *****
BLEU Score: 0.945742
METEOR Score: 0.994692
ROUGE Score: 0.967742
***** Case No.16 *****
BLEU Score: 0.491327
METEOR Score: 0.771560
ROUGE Score: 0.526316
***** Case No.17 *****
BLEU Score: 0.734889
METEOR Score: 0.913912
ROUGE Score: 0.750000
***** Case No.18 *****
BLEU Score: 1.000000
METEOR Score: 0.999624
ROUGE Score: 1.000000
***** Case No.19 *****
BLEU Score: 0.701688
METEOR Score: 0.905455
ROUGE Score: 0.769231
***** Case No.20 *****
BLEU Score: 0.708378
METEOR Score: 0.731526
ROUGE Score: 0.857143
***** Case No.21 *****
BLEU Score: 0.919323
METEOR Score: 0.992141
ROUGE Score: 0.947368
***** Case No.22 *****
BLEU Score: 1.000000
METEOR Score: 0.999772
ROUGE Score: 1.000000
***** Case No.23 *****
BLEU Score: 0.945742
METEOR Score: 0.994692
ROUGE Score: 0.967742
***** Case No.24 *****
BLEU Score: 1.000000
METEOR Score: 0.999711
ROUGE Score: 1.000000
***** Case No.25 *****
BLEU Score: 0.840435
METEOR Score: 0.994390
ROUGE Score: 0.827586
***** Case No.26 *****
BLEU Score: 0.724158
METEOR Score: 0.865089
ROUGE Score: 0.727273
***** Case No.27 *****
BLEU Score: 1.000000
METEOR Score: 0.999772
ROUGE Score: 1.000000
***** Case No.28 *****
BLEU Score: 0.670342
METEOR Score: 0.843611
ROUGE Score: 0.666667
***** Case No.29 *****
BLEU Score: 0.885214
METEOR Score: 0.988272
ROUGE Score: 0.928571
***** Case No.30 *****
BLEU Score: 1.000000
METEOR Score: 0.999852
ROUGE Score: 1.000000
***** Case No.31 *****
BLEU Score: 1.000000
METEOR Score: 0.999772
ROUGE Score: 1.000000
***** Case No.32 *****
BLEU Score: 0.791696
METEOR Score: 0.860731
ROUGE Score: 0.782609
***** Case No.33 *****
BLEU Score: 0.806501
METEOR Score: 0.925801
ROUGE Score: 0.782609
***** Case No.34 *****
BLEU Score: 1.000000
METEOR Score: 0.999711
ROUGE Score: 1.000000
***** Case No.35 *****
BLEU Score: 0.710299
METEOR Score: 0.749486
ROUGE Score: 0.625000
***** Case No.36 *****
BLEU Score: 0.935133
METEOR Score: 0.993668
ROUGE Score: 0.960000
***** Case No.37 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 1.000000
***** Case No.38 *****
BLEU Score: 1.000000
METEOR Score: 0.999711
ROUGE Score: 1.000000
***** Case No.39 *****
BLEU Score: 0.815355
METEOR Score: 0.936389
ROUGE Score: 0.833333
***** Case No.40 *****
BLEU Score: 0.919323
METEOR Score: 0.992141
ROUGE Score: 0.947368
***** Case No.41 *****
BLEU Score: 1.000000
