nohup: ignoring input
***** Case No.1 *****
BLEU Score: 1.000000
METEOR Score: 0.999500
ROUGE Score: 1.000000
***** Case No.2 *****
BLEU Score: 0.640712
METEOR Score: 0.836975
ROUGE Score: 0.666667
***** Case No.3 *****
BLEU Score: 1.000000
METEOR Score: 0.999898
ROUGE Score: 1.000000
***** Case No.4 *****
BLEU Score: 1.000000
METEOR Score: 0.999711
ROUGE Score: 1.000000
***** Case No.5 *****
BLEU Score: 1.000000
METEOR Score: 0.999711
ROUGE Score: 1.000000
***** Case No.6 *****
BLEU Score: 1.000000
METEOR Score: 0.999624
ROUGE Score: 1.000000
***** Case No.7 *****
BLEU Score: 0.496827
METEOR Score: 0.732024
ROUGE Score: 0.500000
***** Case No.8 *****
BLEU Score: 0.484152
METEOR Score: 0.559398
ROUGE Score: 0.571429
***** Case No.9 *****
BLEU Score: 0.855526
METEOR Score: 0.999818
ROUGE Score: 0.800000
***** Case No.10 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 1.000000
***** Case No.11 *****
BLEU Score: 0.411804
METEOR Score: 0.864161
ROUGE Score: 0.526316
***** Case No.12 *****
BLEU Score: 0.791067
METEOR Score: 0.999772
ROUGE Score: 0.777778
***** Case No.13 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 1.000000
***** Case No.14 *****
BLEU Score: 1.000000
METEOR Score: 0.999898
ROUGE Score: 1.000000
***** Case No.15 *****
BLEU Score: 1.000000
METEOR Score: 0.999927
ROUGE Score: 1.000000
***** Case No.16 *****
BLEU Score: 0.491327
METEOR Score: 0.771560
ROUGE Score: 0.526316
***** Case No.17 *****
BLEU Score: 1.000000
METEOR Score: 0.999711
ROUGE Score: 1.000000
***** Case No.18 *****
BLEU Score: 1.000000
METEOR Score: 0.999624
ROUGE Score: 1.000000
***** Case No.19 *****
BLEU Score: 1.000000
METEOR Score: 0.999624
ROUGE Score: 1.000000
***** Case No.20 *****
BLEU Score: 1.000000
METEOR Score: 0.999953
